experiment,city,source_city,target_city,model,model_type,seed,split_type,feature_set,target_scaling,rmse,mae,nrmse,r2,notes
same_city,Davis,Davis,,random_forest_tuned,classical,2026,chronological_80_20,primary,none,15.50718400732877,7.9706882227256175,0.0613453488432018,0.9506849493092476,"{""n_estimators"": 100, ""max_depth"": 15, ""min_samples_leaf"": 3}"
same_city,Davis,Davis,,gradient_boosting_tuned,classical,2026,chronological_80_20,primary,none,15.388292887374236,8.440835071665637,0.0608750237845372,0.9514382318901232,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Davis,Davis,,mlp_tuned,neural_network,2026,chronological_80_20,primary,none,15.756636666997936,9.09600843800395,0.0623321663350196,0.9490855982837352,"{""hidden_size"": 32, ""dropout"": 0.0, ""lr"": 0.001}"
same_city,Amherst,Amherst,,ridge_tuned,classical,42,chronological_80_20,primary,none,21.354006354121523,15.063985511539968,0.1678774084443516,0.6930475059359669,alpha=10.0
same_city,Amherst,Amherst,,random_forest_tuned,classical,42,chronological_80_20,primary,none,20.459404454852525,13.84948764827872,0.160844374645067,0.7182276286579745,"{""n_estimators"": 150, ""max_depth"": null, ""min_samples_leaf"": 1}"
same_city,Amherst,Amherst,,gradient_boosting_tuned,classical,42,chronological_80_20,primary,none,20.293821798959545,13.616093885853122,0.1595426242056568,0.7227700694068631,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Amherst,Amherst,,mlp_tuned,neural_network,42,chronological_80_20,primary,none,20.95002431129788,14.660488099181668,0.1647014489881909,0.7045517010935923,"{""hidden_size"": 64, ""dropout"": 0.1, ""lr"": 0.001}"
same_city,Amherst,Amherst,,ridge_tuned,classical,123,chronological_80_20,primary,none,21.354006354121523,15.063985511539968,0.1678774084443516,0.6930475059359669,alpha=10.0
same_city,Amherst,Amherst,,random_forest_tuned,classical,123,chronological_80_20,primary,none,20.489263801774182,13.838581883036085,0.1610791179384763,0.7174045667208353,"{""n_estimators"": 150, ""max_depth"": null, ""min_samples_leaf"": 1}"
same_city,Amherst,Amherst,,gradient_boosting_tuned,classical,123,chronological_80_20,primary,none,20.303923357475718,13.628337451425308,0.1596220389738656,0.7224940098870298,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Amherst,Amherst,,mlp_tuned,neural_network,123,chronological_80_20,primary,none,20.510805547391367,14.515371768267904,0.1612484712845233,0.716810031051133,"{""hidden_size"": 64, ""dropout"": 0.1, ""lr"": 0.001}"
same_city,Amherst,Amherst,,ridge_tuned,classical,2026,chronological_80_20,primary,none,21.354006354121523,15.063985511539968,0.1678774084443516,0.6930475059359669,alpha=10.0
same_city,Amherst,Amherst,,random_forest_tuned,classical,2026,chronological_80_20,primary,none,20.53351295752472,13.894711242914418,0.1614269886597855,0.716182647563064,"{""n_estimators"": 150, ""max_depth"": null, ""min_samples_leaf"": 1}"
same_city,Amherst,Amherst,,gradient_boosting_tuned,classical,2026,chronological_80_20,primary,none,20.28554911228124,13.610667988068414,0.1594775873607015,0.7229960464477349,"{""n_estimators"": 150, ""learning_rate"": 0.05, ""max_depth"": 3}"
same_city,Amherst,Amherst,,mlp_tuned,neural_network,2026,chronological_80_20,primary,none,20.522565705255086,14.474216557268974,0.1613409253557789,0.7164851960770509,"{""hidden_size"": 64, ""dropout"": 0.1, ""lr"": 0.001}"
cross_city_zero_shot,,Davis,Huron,gradient_boosting,classical,42,chronological_80_20,primary,none_raw_kW,125.81338238243517,116.25859966361307,1.6921117565645765,-58.07314091137758,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Huron,oracle_target_mean_baseline,baseline,42,chronological_80_20,primary,target_city_own_mean,16.59766847342802,12.850290899773062,0.22322831978301338,-0.02808863392818295,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Huron,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,42,chronological_80_20,primary,diagnostic_mean_ratio_rescale,6.650934584653323,5.314519956655176,0.08945093431018844,0.8349172331227998,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting,classical,42,chronological_80_20,primary,none_raw_kW,124.82773039179276,115.9972027433279,1.6905530237896917,-48.43165658651087,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Santa Barbara,oracle_target_mean_baseline,baseline,42,chronological_80_20,primary,target_city_own_mean,17.777456114321787,14.364335114231947,0.24076166485625078,-0.002587410647762578,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,42,chronological_80_20,primary,diagnostic_mean_ratio_rescale,11.83697778359115,8.70963654871156,0.1603092399563256,0.5555072501893137,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting,classical,42,chronological_80_20,primary,none_raw_kW,123.00025548134535,114.65733097689913,1.7942778044116583,-70.340205142896,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,La Jolla,oracle_target_mean_baseline,baseline,42,chronological_80_20,primary,target_city_own_mean,14.630037349631701,11.448295902945395,0.21341704691124763,-0.009283553868380867,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,42,chronological_80_20,primary,diagnostic_mean_ratio_rescale,7.653662223735844,5.981637840088345,0.11164851810080967,0.723776317795574,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,Huron,gradient_boosting,classical,123,chronological_80_20,primary,none_raw_kW,125.81647716224995,116.26123704316373,1.6921533794286105,-58.07604713024119,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Huron,oracle_target_mean_baseline,baseline,123,chronological_80_20,primary,target_city_own_mean,16.59766847342802,12.850290899773062,0.22322831978301338,-0.02808863392818295,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Huron,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,123,chronological_80_20,primary,diagnostic_mean_ratio_rescale,6.6516899417024815,5.315318197815488,0.08946109339278427,0.8348797335771186,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting,classical,123,chronological_80_20,primary,none_raw_kW,125.57714243887281,116.65289591500876,1.7007023776093853,-49.02697108918521,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Santa Barbara,oracle_target_mean_baseline,baseline,123,chronological_80_20,primary,target_city_own_mean,17.777456114321787,14.364335114231947,0.24076166485625078,-0.002587410647762578,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Santa Barbara,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,123,chronological_80_20,primary,diagnostic_mean_ratio_rescale,11.883962821055196,8.73909978861471,0.16094556248585015,0.5519715575852009,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting,classical,123,chronological_80_20,primary,none_raw_kW,124.58811934945687,116.16237346497034,1.8174409180477258,-72.19401779735269,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,La Jolla,oracle_target_mean_baseline,baseline,123,chronological_80_20,primary,target_city_own_mean,14.630037349631701,11.448295902945395,0.21341704691124763,-0.009283553868380867,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,La Jolla,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,123,chronological_80_20,primary,diagnostic_mean_ratio_rescale,7.711129567959543,6.0051579019906685,0.11248682839387004,0.7196127069263734,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
cross_city_zero_shot,,Davis,Huron,gradient_boosting,classical,2026,chronological_80_20,primary,none_raw_kW,125.79545671027104,116.21496262620772,1.6918706674209667,-58.056308833570256,genuine zero-shot: zero target-city rows used in training or preprocessing fitting
cross_city_zero_shot,,Davis,Huron,oracle_target_mean_baseline,baseline,2026,chronological_80_20,primary,target_city_own_mean,16.59766847342802,12.850290899773062,0.22322831978301338,-0.02808863392818295,"NOT a legitimate zero-shot method - uses target city's own historical mean, shown only for comparison per Section 23"
cross_city_zero_shot,,Davis,Huron,gradient_boosting_scale_corrected_DIAGNOSTIC,diagnostic,2026,chronological_80_20,primary,diagnostic_mean_ratio_rescale,6.653876257835658,5.312688389087773,0.08949049798522475,0.8347711703595943,"DIAGNOSTIC ONLY, NOT a legitimate zero-shot method - rescales predictions using the target city's own mean, to isolate whether the failure is scale mismatch vs. poor pattern-matching"
