task,city,model,seed,ablation_group,balanced_accuracy,accuracy,macro_precision,macro_recall,macro_f1,notes
sky_condition,Davis,random_forest,42,full_with_leakage_risk,0.9856328603932463,0.9885963093510264,0.9827674763090748,0.9856328603932463,0.9841946156389078,"includes DHI/DNI/Solar Zenith Angle - leakage demonstration only, not the primary result"
sky_condition,Davis,random_forest,123,full_with_leakage_risk,0.98436718630129,0.9877669500311009,0.9805696673074541,0.98436718630129,0.9824375023815964,"includes DHI/DNI/Solar Zenith Angle - leakage demonstration only, not the primary result"
sky_condition,Davis,random_forest,2026,full_with_leakage_risk,0.9855102011976397,0.988388969521045,0.9824031432234671,0.9855102011976397,0.983948778768915,"includes DHI/DNI/Solar Zenith Angle - leakage demonstration only, not the primary result"
generation_regime,Davis,random_forest,42,time_only,0.8258603232822567,0.8148455318266639,0.8089097237469344,0.8258603232822567,0.8147343912941295,
generation_regime,Davis,random_forest,123,time_only,0.8250876616698838,0.8140161725067385,0.808306468232939,0.8250876616698838,0.8140292114674343,
generation_regime,Davis,random_forest,2026,time_only,0.8264109614251279,0.815467551316608,0.8095805715492518,0.8264109614251279,0.8153584071737425,
generation_regime,Davis,random_forest,42,weather_only,0.8816760765667871,0.8890731909599834,0.8847320750287261,0.8816760765667871,0.8827631032262512,
generation_regime,Davis,random_forest,123,weather_only,0.880854604426211,0.8880364918100767,0.8835810075782108,0.880854604426211,0.8818220118201933,
generation_regime,Davis,random_forest,2026,weather_only,0.8812792117573954,0.8880364918100767,0.8832943826874272,0.8812792117573954,0.8820311369554025,
generation_regime,Davis,random_forest,42,irradiance_weather,0.9385968775326186,0.943810906075057,0.9392015649005097,0.9385968775326186,0.9387331644676365,
generation_regime,Davis,random_forest,123,irradiance_weather,0.9386138566624381,0.943810906075057,0.9392822947368081,0.9386138566624381,0.938769482313811,
generation_regime,Davis,random_forest,2026,irradiance_weather,0.9391870224394875,0.9442255857350197,0.9398986553645291,0.9391870224394875,0.9393862937016596,
generation_regime,Davis,random_forest,42,full,0.9451656917916598,0.9487870619946092,0.9448140323735607,0.9451656917916598,0.944852246802748,
generation_regime,Davis,random_forest,123,full,0.9451864261813263,0.9494090814845532,0.9457995249704858,0.9451864261813263,0.9452855057554941,
generation_regime,Davis,random_forest,2026,full,0.9459850370709803,0.9500311009744972,0.9463229274521266,0.9459850370709803,0.9460047702262003,
